response_id,prolific_id,role,survey_group,condition,cell,valuation,free_text_price,used_free_text_price,switches,screening_score,screening_pass,is_monotone,confidence_label,confidence_num,total_time_s,date_submitted,per_protocol,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current job role,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,profession,is_corner_low,is_corner_high
32,697a6e6ce12a1c746e2689de,buyer,4,anchor,buyer_anchor,14000.0,,False,6,3,True,False,Little confidence,1,232.18,2026-02-06 14:56:10,False,6985f1faba8509f00a79380f,APPROVED,Not Applicable,2026-02-06T13:51:59.646000Z,2026-02-06T13:56:37.349000Z,2026-02-09T13:06:00.312000Z,2026-02-06T13:56:37.704466Z,278.0,NOCODE,5.0,Cybersecurity Specialist,"English, Galician",39.0,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time,cybersec,False,False
37,697bb661d6c073b1d40e644a,buyer,4,anchor,buyer_anchor,10000.0,,False,1,4,True,True,Little confidence,1,664.76,2026-02-06 18:06:53,True,69861cff93834c0e5503d174,APPROVED,Not Applicable,2026-02-06T16:55:39.171000Z,2026-02-06T17:07:16.285000Z,2026-02-09T13:06:01.596000Z,2026-02-06T17:07:16.647904Z,698.0,NOCODE,1.0,Cybersecurity Specialist,English,28.0,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time,cybersec,False,False
38,697de4ca86a9ec41e1ffccf3,buyer,4,anchor,buyer_anchor,12000.0,,False,6,3,True,False,High confidence,4,228.47,2026-02-06 18:25:37,False,698623197b2a7971690f5710,APPROVED,Not Applicable,2026-02-06T17:21:38.562000Z,2026-02-06T17:26:03.004000Z,2026-02-09T13:06:01.879000Z,2026-02-06T17:26:03.366079Z,265.0,NOCODE,1.0,IT Project Manager,"Spanish, English",58.0,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time,it_manager,False,False
39,69736d6ff7dd5f35d17380a3,buyer,4,anchor,buyer_anchor,14000.0,,False,2,4,True,False,High confidence,4,178.85,2026-02-06 19:28:09,False,698631f14599f5cb146beb03,APPROVED,Not Applicable,2026-02-06T18:24:56.675000Z,2026-02-06T18:28:39.703000Z,2026-02-09T13:06:02.161000Z,2026-02-06T18:28:40.078986Z,224.0,NOCODE,4.0,Cybersecurity Specialist,English,30.0,Male,Asian,Nepal,Australia,DATA_EXPIRED,English,No,Part-Time,cybersec,False,False
40,6924b46ec42aa7454c3edef7,buyer,4,anchor,buyer_anchor,6000.0,,False,1,3,True,True,Some confidence,2,272.55,2026-02-06 22:24:42,True,69865af9c94021e9521db612,APPROVED,Not Applicable,2026-02-06T21:19:58.894000Z,2026-02-06T21:25:31.171000Z,2026-02-09T13:06:02.427000Z,2026-02-06T21:25:31.508764Z,333.0,,47.0,IT Project Manager,English,53.0,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time,it_manager,False,False
43,6983764762772e6a6afd8b14,buyer,4,anchor,buyer_anchor,15500.0,,False,1,4,True,True,Some confidence,2,784.11,2026-02-07 11:38:50,True,698713058aad8ea4af5db911,APPROVED,Not Applicable,2026-02-07T10:25:09.255000Z,2026-02-07T10:42:26.313000Z,2026-02-09T13:06:03.052000Z,2026-02-07T10:42:26.641456Z,1038.0,6983764762772e6a6afd8b14,0.0,Cybersecurity Specialist,English,37.0,Male,Black,Nigeria,Ireland,DATA_EXPIRED,English,No,Full-Time,cybersec,False,False
44,697270122adfd068b90be931,buyer,4,anchor,buyer_anchor,8500.0,,False,1,4,True,True,Some confidence,2,125.48,2026-02-07 12:14:30,True,69871e107b511710baac59c8,APPROVED,Not Applicable,2026-02-07T11:12:20.348000Z,2026-02-07T11:14:49.097000Z,2026-02-09T13:06:03.469000Z,2026-02-07T11:14:49.454778Z,149.0,NOCODE,10.0,Cybersecurity Specialist,English,22.0,Male,White,Germany,Germany,Germany,German,Yes,Part-Time,cybersec,False,False
47,696aad6297285680789d7418,buyer,4,anchor,buyer_anchor,20000.0,,False,12,3,True,False,Confidence,3,250.03,2026-02-07 14:33:39,False,69873e2b9ee3dd53bf2022d3,APPROVED,Not Applicable,2026-02-07T13:29:20.248000Z,2026-02-07T13:34:00.730000Z,2026-02-09T13:06:04.353000Z,2026-02-07T13:34:01.076229Z,281.0,NOCODE,6.0,IT Project Manager,"French, English",35.0,Male,White,France,France,France,French,No,Full-Time,it_manager,False,False
48,6984a86ebbab36eea598ab42,buyer,4,anchor,buyer_anchor,9500.0,,False,1,4,True,True,Some confidence,2,238.66,2026-02-07 19:49:42,True,6987884266bf76bf8bb05b32,APPROVED,Not Applicable,2026-02-07T18:45:39.061000Z,2026-02-07T18:51:12.079000Z,2026-02-09T13:06:04.677000Z,2026-02-07T18:51:12.429711Z,334.0,NOCODE,0.0,Cybersecurity Engineer,"Catalan, English",30.0,Male,White,Spain,Spain,DATA_EXPIRED,Spanish,No,Full-Time,cybersec,False,False
50,69781209fdac6411c232f570,buyer,4,anchor,buyer_anchor,18000.0,,False,6,4,True,False,Confidence,3,337.04,2026-02-08 08:48:12,False,69883e583acb737132094fdf,APPROVED,Not Applicable,2026-02-08T07:42:22.053000Z,2026-02-08T07:48:42.803000Z,2026-02-09T13:06:05.287000Z,2026-02-08T07:48:43.152532Z,381.0,329854,16.0,IT Project Manager,English,36.0,Male,White,Australia,Australia,Australia,English,No,Full-Time,it_manager,False,False
52,697be281d19e2727abb4aeac,buyer,4,anchor,buyer_anchor,0.0,,False,0,4,True,True,No confidence,0,97.89,2026-02-08 23:40:13,True,69891064d48bc1daf9e255f8,APPROVED,Not Applicable,2026-02-08T22:38:30.828000Z,2026-02-08T22:41:05.142000Z,2026-02-09T13:06:06.268000Z,2026-02-08T22:41:05.510854Z,155.0,697be281d19e2727abb4aeac,0.0,Cybersecurity Specialist,"English, Spanish, Catalan",25.0,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time,cybersec,True,False
55,6966ad3247bb9b3fb20bfd3a,buyer,4,anchor,buyer_anchor,16000.0,,False,9,4,True,False,High confidence,4,124.03,2026-02-09 12:47:16,False,6989c8c1e6d574ef9e93f7f5,APPROVED,Not Applicable,2026-02-09T11:45:08.980000Z,2026-02-09T11:47:31.433000Z,2026-02-09T13:06:07.180000Z,2026-02-09T11:47:32.015357Z,143.0,NOCODE,79.0,IT Project Manager,English,25.0,Male,White,Germany,Germany,Germany,German,No,Full-Time,it_manager,False,False
56,6985c2072e7914fce07ae954,buyer,4,anchor,buyer_anchor,8000.0,,False,1,3,True,True,Confidence,3,274.64,2026-02-09 15:32:03,True,6989eeb8c206cc7c387e172c,APPROVED,Not Applicable,2026-02-09T14:27:15.872000Z,2026-02-09T14:32:20.619000Z,2026-02-11T12:27:38.771000Z,2026-02-09T14:32:20.958895Z,305.0,CO7GMO3N,1.0,Cybersecurity Specialist,English,46.0,Male,White,United States,United States,United States,English,Yes,Part-Time,cybersec,False,False
59,6987307ee9e55830b1594fd4,buyer,4,anchor,buyer_anchor,14500.0,,False,1,4,True,True,Confidence,3,138.42,2026-02-10 10:52:28,True,698afedd0cd02f66b2ea7814,APPROVED,Not Applicable,2026-02-10T09:49:58.105000Z,2026-02-10T09:52:54.088000Z,2026-02-11T12:27:39.352000Z,2026-02-10T09:52:54.440394Z,176.0,CO7GMO3N,1.0,IT Project Manager,English,27.0,Male,Black,United States,United States,DATA_EXPIRED,English,No,Full-Time,it_manager,False,False
61,697caefff3d2dc1b1fc4ffd9,buyer,4,anchor,buyer_anchor,15500.0,,False,1,4,True,True,Confidence,3,253.54,2026-02-11 12:26:26,True,698c6627962f7787edf42cd8,APPROVED,Not Applicable,2026-02-11T11:21:53.878000Z,2026-02-11T11:26:37.502000Z,2026-02-11T12:27:39.868000Z,2026-02-11T11:26:37.874753Z,284.0,CO7GMO3N,0.0,Cybersecurity Engineer,"English, Portuguese",23.0,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time,cybersec,False,False
70,69978b33fa1638ee71694b02,buyer,4,anchor,buyer_anchor,14000.0,,False,1,3,True,True,Confidence,3,376.6,2026-02-20 00:45:10,True,69979efdee4bede37901f9b7,APPROVED,Not Applicable,2026-02-19T23:38:37.899000Z,2026-02-19T23:45:24.838000Z,2026-03-03T07:25:09.359000Z,2026-02-19T23:45:25.193589Z,407.0,CO7GMO3N,0.0,Cybersecurity Specialist,English,41.0,Male,Black,Nigeria,Canada,DATA_EXPIRED,English,No,Full-Time,cybersec,False,False
71,698af4bcd3d669a5a450d780,buyer,4,anchor,buyer_anchor,22000.0,,False,9,3,True,False,High confidence,4,181.79,2026-02-21 02:49:51,False,69990e704389ae11fe526b13,APPROVED,Not Applicable,2026-02-21T01:46:35.935000Z,2026-02-21T01:50:11.150000Z,2026-03-03T07:25:09.612000Z,2026-02-21T01:50:11.567465Z,216.0,CO7GMO3N,1.0,IT Project Manager,English,34.0,Male,White,United States,United States,DATA_EXPIRED,English,No,Full-Time,it_manager,False,True
72,69987de59428163a4d3dab71,buyer,4,anchor,buyer_anchor,18000.0,,False,18,4,True,False,High confidence,4,1002.75,2026-02-22 17:59:09,False,699b3154f66e2eae15391216,APPROVED,Not Applicable,2026-02-22T16:41:02.587000Z,2026-02-22T17:00:03.211000Z,2026-03-03T07:25:09.847000Z,2026-02-22T17:00:03.612198Z,1141.0,CO7GMO3N,0.0,IT Project Manager,English,42.0,Male,Black,United States,United States,United States,English,No,Full-Time,it_manager,False,False
77,61a74f60a9217c6f76a4d0e4,buyer,4,anchor,buyer_anchor,14500.0,,False,1,3,True,True,Little confidence,1,209.55,2026-02-25 11:33:58,True,699ecf3885023dc92e2d9525,APPROVED,Not Applicable,2026-02-25T10:30:21.787000Z,2026-02-25T10:34:06.823000Z,2026-03-03T07:25:11.031000Z,2026-02-25T10:34:07.169139Z,226.0,CO7GMO3N,1962.0,IT Project Manager,"English, French",53.0,Female,White,Canada,United Kingdom,United Kingdom,English,No,Part-Time,it_manager,False,False
80,6945888a52665a08e0cd1633,buyer,4,anchor,buyer_anchor,16000.0,,False,1,4,True,True,Little confidence,1,173.39,2026-02-26 23:58:34,True,69a0cf5ba6ccf6329fc3dd47,APPROVED,Not Applicable,2026-02-26T22:55:32.580000Z,2026-02-26T22:58:46.729000Z,2026-03-03T07:25:11.720000Z,2026-02-26T22:58:47.082514Z,195.0,CO7GMO3N,17.0,Cybersecurity Engineer,English,44.0,Female,White,United States,United States,United States,English,No,Full-Time,cybersec,False,False
81,699e8cb46054c45347794c84,buyer,4,anchor,buyer_anchor,17500.0,,False,1,4,True,True,Confidence,3,567.3,2026-02-27 07:22:16,True,69a135a75eb9c9604a2d88ac,APPROVED,Not Applicable,2026-02-27T06:12:19.485000Z,2026-02-27T06:22:22.440000Z,2026-03-03T07:25:11.939000Z,2026-02-27T06:22:22.771623Z,603.0,CO7GMO3N,0.0,IT Project Manager,"English, Korean",39.0,Male,Asian,Korea,United States,DATA_EXPIRED,English,No,Full-Time,it_manager,False,False
82,69a3ff5df62de1cdf8cd9af4,buyer,4,anchor,buyer_anchor,5500.0,,False,1,3,True,True,Little confidence,1,358.7,2026-03-01 10:22:57,True,69a403b92ba8963a85164193,APPROVED,Not Applicable,2026-03-01T09:16:29.395000Z,2026-03-01T09:23:07.789000Z,2026-03-03T07:25:12.170000Z,2026-03-01T09:23:08.151773Z,399.0,CO7GMO3N,0.0,IT Project Manager,"Catalan, English",32.0,Male,White,Spain,Spain,DATA_EXPIRED,Spanish,No,Full-Time,it_manager,False,False
83,69a713d0f027e13c742c1312,buyer,4,anchor,buyer_anchor,20000.0,,False,1,3,True,True,Confidence,3,246.89,2026-03-03 18:29:49,True,69a71975119805edbc23dabd,APPROVED,Not Applicable,2026-03-03T17:25:37.155000Z,2026-03-03T17:30:34.744000Z,2026-03-09T14:00:29.934000Z,2026-03-03T17:30:35.093543Z,298.0,CO7GMO3N,1.0,IT Project Manager,English,18.0,Male,Mixed,Netherlands,Netherlands,DATA_EXPIRED,Dutch,Yes,Part-Time,it_manager,False,False
87,693081c85608e566f11a24be,buyer,4,anchor,buyer_anchor,10500.0,,False,1,4,True,True,Some confidence,2,355.42,2026-03-05 15:18:07,True,69a98edaa8d6a4b6d2771a22,APPROVED,Not Applicable,2026-03-05T14:10:38.731000Z,2026-03-05T14:18:15.162000Z,2026-03-09T14:00:30.943000Z,2026-03-05T14:18:15.552090Z,457.0,CO7GMO3N,37.0,IT Project Manager,"English, Spanish",31.0,Male,White,Germany,Germany,DATA_EXPIRED,German,Yes,Full-Time,it_manager,False,False
90,69a9be323189cb0e52ea00dc,buyer,4,anchor,buyer_anchor,12500.0,,False,1,4,True,True,Confidence,3,194.02,2026-03-05 19:08:53,True,69a9c5a80d3dff491759988c,APPROVED,Not Applicable,2026-03-05T18:05:16.460000Z,2026-03-05T18:09:00.493000Z,2026-03-09T14:00:31.961000Z,2026-03-05T18:09:00.885088Z,225.0,CO7GMO3N,0.0,Cybersecurity Specialist,"Spanish, English",27.0,Male,White,Spain,Spain,DATA_EXPIRED,Spanish,No,Full-Time,cybersec,False,False
91,69a96329f48acb6bd39beb30,buyer,4,anchor,buyer_anchor,6000.0,,False,6,4,True,False,Some confidence,2,142.9,2026-03-06 09:01:38,False,69aa894180043ae315b32a11,APPROVED,Not Applicable,2026-03-06T07:59:05.919000Z,2026-03-06T08:01:48.138000Z,2026-03-09T14:00:32.379000Z,2026-03-06T08:01:48.516343Z,163.0,CO7GMO3N,0.0,Cybersecurity Specialist,"Spanish, English",36.0,Male,White,Spain,Spain,DATA_EXPIRED,Spanish,No,Full-Time,cybersec,False,False
94,69aad0cb9b009f54b821081a,buyer,4,anchor,buyer_anchor,10000.0,,False,1,4,True,True,Confidence,3,166.94,2026-03-06 15:07:53,True,69aadf0437eceb6928900c8a,APPROVED,Not Applicable,2026-03-06T14:04:58.153000Z,2026-03-06T14:08:08.400000Z,2026-03-09T14:00:33.170000Z,2026-03-06T14:08:08.730807Z,191.0,CO7GMO3N,0.0,IT Project Manager,English,53.0,Male,Asian,Pakistan,Canada,DATA_EXPIRED,Urdu,No,Full-Time,it_manager,False,False
95,69ab0016b7ebfcfac59d7816,buyer,4,anchor,buyer_anchor,18000.0,,False,10,4,True,False,Some confidence,2,843.53,2026-03-06 18:13:01,False,69ab07814dd7e135d4e42d5b,APPROVED,Not Applicable,2026-03-06T16:58:43.995000Z,2026-03-06T17:13:17.776000Z,2026-03-09T14:00:33.746000Z,2026-03-06T17:13:18.271556Z,874.0,CO7GMO3N,0.0,IT Project Manager,English,36.0,Male,White,Australia,Canada,DATA_EXPIRED,English,No,Full-Time,it_manager,False,False
98,69acd4e1f5e56230fd997f5d,buyer,4,anchor,buyer_anchor,8000.0,,False,1,4,True,True,Confidence,3,138.05,2026-03-08 03:40:40,True,69ace0fce99fff0a6b89acc5,APPROVED,Not Applicable,2026-03-08T02:37:57.110000Z,2026-03-08T02:40:49.825000Z,2026-03-09T14:00:34.510000Z,2026-03-08T02:40:50.166088Z,173.0,CO7GMO3N,0.0,Cybersecurity Specialist,English,45.0,Male,White,United States,United States,United States,English,Yes,Full-Time,cybersec,False,False
99,6944306110d5c2f16bd175a2,buyer,4,anchor,buyer_anchor,8500.0,,False,1,4,True,True,Confidence,3,996.51,2026-03-09 02:34:59,True,69ae1fcacce4f3b48ed3b157,APPROVED,Not Applicable,2026-03-09T01:18:10.867000Z,2026-03-09T01:35:19.491000Z,2026-03-09T14:00:34.902000Z,2026-03-09T01:35:19.840645Z,1029.0,CO7GMO3N,14.0,Cybersecurity Specialist,English,55.0,Male,White,United States,United States,DATA_EXPIRED,English,No,Part-Time,cybersec,False,False
101,69aeea72f32490a8659a000a,buyer,4,anchor,buyer_anchor,5500.0,,False,1,4,True,True,Confidence,3,208.9,2026-03-09 17:40:23,True,69aef70d13e4fd640bfc2782,APPROVED,Not Applicable,2026-03-09T16:36:39.450000Z,2026-03-09T16:40:43.121000Z,2026-03-17T06:54:54.267000Z,2026-03-09T16:40:43.460757Z,244.0,CO7GMO3N,0.0,Cybersecurity Specialist,English,52.0,Male,White,United States,United States,United States,English,No,Full-Time,cybersec,False,False
102,69ac8e4058a8dc18c544bb35,buyer,4,anchor,buyer_anchor,20000.0,,False,1,3,True,True,Confidence,3,139.58,2026-03-09 19:41:11,True,69af13a5519536cf65b1d140,APPROVED,Not Applicable,2026-03-09T18:38:37.193000Z,2026-03-09T18:41:24.195000Z,2026-03-17T06:54:54.704000Z,2026-03-09T18:41:24.608521Z,168.0,CO7GMO3N,0.0,IT Project Manager,English,24.0,Male,Black,Kenya,United States,DATA_EXPIRED,Swahili,Yes,Part-Time,it_manager,False,False
105,6669b05d59ae83d98fbe06d4,buyer,4,anchor,buyer_anchor,4500.0,,False,1,4,True,True,Confidence,3,221.29,2026-03-10 18:15:21,True,69b050ba125d5b50c708c43b,APPROVED,Not Applicable,2026-03-10T17:11:28.947000Z,2026-03-10T17:15:37.470000Z,2026-03-17T06:54:55.755000Z,2026-03-10T17:15:37.845638Z,249.0,CO7GMO3N,321.0,IT Project Manager,English,61.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,it_manager,False,False
106,69b082f53f634565ac37cd1f,buyer,4,anchor,buyer_anchor,12500.0,,False,1,4,True,True,High confidence,4,287.65,2026-03-10 22:17:35,True,69b0893a4c7f3f9d25033b51,APPROVED,Not Applicable,2026-03-10T21:12:37.625000Z,2026-03-10T21:17:45.627000Z,2026-03-17T06:54:56.156000Z,2026-03-10T21:17:46.205963Z,309.0,CO7GMO3N,0.0,IT Project Manager,English,33.0,Male,Prefer not to say,Canada,Canada,Canada,English,No,Full-Time,it_manager,False,False
108,69958afcab6b119367ef1b56,buyer,4,anchor,buyer_anchor,10000.0,,False,1,4,True,True,Confidence,3,231.41,2026-03-11 11:52:29,True,69b1484c6bb69b86c062e5fc,APPROVED,Not Applicable,2026-03-11T10:48:20.115000Z,2026-03-11T10:52:45.919000Z,2026-03-17T06:54:56.476000Z,2026-03-11T10:52:46.276874Z,266.0,CO7GMO3N,0.0,IT Project Manager,English,35.0,Male,White,Netherlands,Netherlands,DATA_EXPIRED,Dutch,No,Full-Time,it_manager,False,False
112,69b1c869d2506d267c1fc8c9,buyer,4,anchor,buyer_anchor,19500.0,,False,1,4,True,True,Confidence,3,143.72,2026-03-11 21:18:45,True,69b1cb29df7d2aba8afbfd48,APPROVED,Not Applicable,2026-03-11T20:06:17.206000Z,2026-03-11T20:18:56.002000Z,2026-03-17T06:54:57.778000Z,2026-03-11T20:18:56.385108Z,759.0,CO7GMO3N,0.0,Cybersecurity Engineer,"Albanian, English",23.0,Male,White,United States,United States,DATA_EXPIRED,Albanian,No,Full-Time,cybersec,False,False
113,69b1bfce905276c1694e0ccb,buyer,4,anchor,buyer_anchor,16000.0,,False,1,3,True,True,Confidence,3,311.28,2026-03-11 23:37:35,True,69b1ed63da17b2811c536b37,APPROVED,Not Applicable,2026-03-11T22:32:03.836000Z,2026-03-11T22:37:54.627000Z,2026-03-17T06:54:58.097000Z,2026-03-11T22:37:54.955283Z,351.0,CO7GMO3N,0.0,IT Project Manager,English,56.0,Female,White,United States,United States,DATA_EXPIRED,English,No,Full-Time,it_manager,False,False
114,66d713757a6f72cd85e9e322,buyer,4,anchor,buyer_anchor,10500.0,,False,1,4,True,True,Little confidence,1,210.06,2026-03-12 06:00:43,True,69b2479ddc688bc250eb0d80,APPROVED,Not Applicable,2026-03-12T04:57:05.661000Z,2026-03-12T05:00:55.368000Z,2026-03-17T06:54:58.442000Z,2026-03-12T05:00:55.713432Z,230.0,CO7GMO3N,128.0,IT Project Manager,"German, English",35.0,Male,White,Switzerland,Switzerland,Switzerland,German,No,Part-Time,it_manager,False,False
116,69b1ddf8a21ba4c94494dd32,buyer,4,anchor,buyer_anchor,18000.0,,False,6,4,True,False,Confidence,3,199.39,2026-03-12 19:47:43,False,69b3092ccfde7ffa8ab73135,APPROVED,Not Applicable,2026-03-12T18:44:10.290000Z,2026-03-12T18:48:04.627000Z,2026-03-17T06:54:59.082000Z,2026-03-12T18:48:05.041030Z,235.0,CO7GMO3N,0.0,Cybersecurity Specialist,English,34.0,Male,White,United States,United States,DATA_EXPIRED,English,No,Full-Time,cybersec,False,False
119,69b3d0a6aeb3e09a09ff1604,buyer,4,anchor,buyer_anchor,14500.0,,False,1,3,True,True,Some confidence,2,102.46,2026-03-13 22:20:13,True,69b47eee97e08e4d68a45efa,APPROVED,Not Applicable,2026-03-13T21:18:17.785000Z,2026-03-13T21:20:23.292000Z,2026-03-17T06:55:00.023000Z,2026-03-13T21:20:23.672304Z,126.0,CO7GMO3N,0.0,IT Project Manager,English,32.0,Male,White,France,France,DATA_EXPIRED,French,No,Part-Time,it_manager,False,False
123,69af90a0aa95f1de5ee79289,buyer,4,anchor,buyer_anchor,16500.0,,False,1,4,True,True,Some confidence,2,184.07,2026-03-14 22:54:29,True,69b5d84b76377f258e854574,APPROVED,Not Applicable,2026-03-14T21:51:13.991000Z,2026-03-14T21:54:38.608000Z,2026-03-17T06:55:00.969000Z,2026-03-14T21:54:39.042468Z,205.0,CO7GMO3N,0.0,IT Project Manager,English,60.0,Female,White,United States,United States,DATA_EXPIRED,English,No,Full-Time,it_manager,False,False
124,699f9f8907d7a8f4a57694b8,buyer,4,anchor,buyer_anchor,8500.0,,False,1,4,True,True,Some confidence,2,135.81,2026-03-15 02:06:38,True,69b60587d42177e5bef1dc29,APPROVED,Not Applicable,2026-03-15T01:04:10.839000Z,2026-03-15T01:06:49.257000Z,2026-03-17T06:55:01.265000Z,2026-03-15T01:06:49.619503Z,159.0,CO7GMO3N,3.0,IT Project Manager,English,23.0,Female,Asian,United States,United States,United States,English,No,Full-Time,it_manager,False,False
125,69b6f826453eaec6b1072a61,buyer,4,anchor,buyer_anchor,18000.0,,False,1,4,True,True,Confidence,3,286.76,2026-03-15 20:10:13,True,69b702d3a9f555001cd88042,APPROVED,Not Applicable,2026-03-15T19:05:02.565000Z,2026-03-15T19:10:39.585000Z,2026-03-17T06:55:01.616000Z,2026-03-15T19:11:03.784258Z,338.0,CO7GMO3N,0.0,Cybersecurity Engineer,English,39.0,Male,White,United States,United States,DATA_EXPIRED,English,Yes,Full-Time,cybersec,False,False
