Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current job role,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6985f12abb60d323837a9f26,697ccda5555c0129bbf9ab36,APPROVED,Not Applicable,2026-02-06T13:48:30.845000Z,2026-02-06T13:52:48.151000Z,2026-02-09T13:06:19.551000Z,2026-02-06T13:52:48.496659Z,258.0,NOCODE,25,Cybersecurity Engineer,"English, Portuguese",26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
6985f180f68fd89ea0793803,6931f21a0511d9bd2fedffbc,APPROVED,Not Applicable,2026-02-06T13:49:55.385000Z,2026-02-06T13:55:59.050000Z,2026-02-09T13:06:19.873000Z,2026-02-06T13:55:59.404137Z,364.0,NOCODE,244,IT Project Manager,"English, Spanish, French",29,Male,White,Italy,Italy,Italy,Italian,No,Part-Time
6985f1d7fa79c580ebca9986,696025c89f9ef53ce213f2e0,APPROVED,Not Applicable,2026-02-06T13:51:23.900000Z,2026-02-06T13:57:50.174000Z,2026-02-09T13:06:20.139000Z,2026-02-06T13:57:50.556108Z,387.0,NOCODE,7,Cybersecurity Engineer,English,34,Male,White,United States,United States,DATA_EXPIRED,English,No,Full-Time
6985f7c03822c3ae7aed0ca1,65b12f2f836f84c02458e987,APPROVED,Not Applicable,2026-02-06T14:16:36.931000Z,2026-02-06T14:23:52.452000Z,2026-02-09T13:06:20.384000Z,2026-02-06T14:23:52.832721Z,436.0,NOCODE,859,Cybersecurity Specialist,"German, English",29,Male,Mixed,Germany,Germany,Germany,German,Yes,Full-Time
6986006083337621ad76d00d,697caaabfc25c2f63df54984,APPROVED,Not Applicable,2026-02-06T14:53:26.660000Z,2026-02-06T15:03:09.973000Z,2026-02-09T13:06:20.668000Z,2026-02-06T15:03:10.308190Z,584.0,NOCODE,2,IT Project Manager,"Spanish, English",46,Male,White,Portugal,Portugal,DATA_EXPIRED,Portuguese,No,Full-Time
698600e55602be41066881de,6930822e0a0e336786266952,RETURNED,Not Applicable,,,,2026-02-18T05:53:27.449218Z,,,88,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69860e83c0342405e0bde28a,693826069ea659a40ecc942b,APPROVED,Not Applicable,2026-02-06T15:53:44.890000Z,2026-02-06T16:00:40.518000Z,2026-02-09T13:06:20.925000Z,2026-02-06T16:00:40.873095Z,416.0,NOCODE,44,IT Project Manager,"French, English",41,Male,White,France,France,France,French,No,Full-Time
69860f1db84208697bd2c916,692f3019e796e7adf76959e8,APPROVED,Not Applicable,2026-02-06T15:56:13.107000Z,2026-02-06T16:01:59.501000Z,2026-02-09T13:06:21.204000Z,2026-02-06T16:01:59.842746Z,347.0,NOCODE,1,Cybersecurity Engineer,English,26,Male,White,Portugal,Portugal,DATA_EXPIRED,Portuguese,No,Full-Time
698610f13b78e53e904e51c3,696fdfbdf9c012a825a24b30,APPROVED,Not Applicable,2026-02-06T16:04:05.929000Z,2026-02-06T16:07:47.198000Z,2026-02-09T13:06:21.974000Z,2026-02-06T16:07:47.531951Z,222.0,NOCODE,13,Penetration Tester / Ethical Hacker,"Spanish, English",21,Female,Asian,China,Spain,DATA_EXPIRED,Chinese,Yes,Full-Time
698612a7c8b97617ede255d4,60652959efd259d00b3ef90b,APPROVED,Not Applicable,2026-02-06T16:11:25.889000Z,2026-02-06T16:33:19.408000Z,2026-02-09T13:06:22.562000Z,2026-02-06T16:33:19.749637Z,1314.0,NOCODE,1081,Cybersecurity Specialist,"English, Hindi",23,Female,Asian,India,United Kingdom,United Kingdom,Hindi,Yes,Part-Time
698613ddb8b929793af27bb4,6927f901133cfabd0ae89427,APPROVED,Not Applicable,2026-02-06T16:16:29.558000Z,2026-02-06T16:26:46.910000Z,2026-02-09T13:06:23.128000Z,2026-02-06T16:26:47.314239Z,618.0,CF5WVG7P,212,Cybersecurity Specialist,English,32,Male,White,Germany,Germany,Germany,German,No,Full-Time
69861863f6752970fc8ac0a1,695fb208c874a4d7ea24f2eb,APPROVED,Not Applicable,2026-02-06T16:35:47.098000Z,2026-02-06T16:40:40.553000Z,2026-02-09T13:06:23.563000Z,2026-02-06T16:40:40.914314Z,294.0,NOCODE,10,IT Project Manager,English,39,Male,White,United States,United States,DATA_EXPIRED,English,No,Full-Time
