Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current job role,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6985f1faba8509f00a79380f,697a6e6ce12a1c746e2689de,APPROVED,Not Applicable,2026-02-06T13:51:59.646000Z,2026-02-06T13:56:37.349000Z,2026-02-09T13:06:00.312000Z,2026-02-06T13:56:37.704466Z,278,NOCODE,5,Cybersecurity Specialist,"English, Galician",39,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
6985fab8e898a9a4daaf8f9b,697b58b5675a46df53e60cee,APPROVED,Not Applicable,2026-02-06T14:29:19.898000Z,2026-02-06T14:35:36.132000Z,2026-02-09T13:06:00.616000Z,2026-02-06T14:35:36.730859Z,377,NOCODE,2,Cybersecurity Specialist,"French, English",29,Male,White,Japan,France,DATA_EXPIRED,Italian,No,Full-Time
6985fd548bbd6f323e0a710f,693ecb243296d4f4d9e38818,APPROVED,Not Applicable,2026-02-06T14:40:24.644000Z,2026-02-06T14:42:37.807000Z,2026-02-09T13:06:00.943000Z,2026-02-06T14:42:38.170367Z,134,NOCODE,1054,IT Project Manager,English,46,Male,White,United States,United States,United States,English,No,Full-Time
698618cf9cba53dc5ed8c348,698254ff5273a45e8c8b4457,APPROVED,Not Applicable,2026-02-06T16:37:39.084000Z,2026-02-06T16:40:05.065000Z,2026-02-09T13:06:01.306000Z,2026-02-06T16:40:05.426049Z,146,NOCODE,42,IT Project Manager,English,18,Male,White,United States,United States,DATA_EXPIRED,English,No,Full-Time
69861cff93834c0e5503d174,697bb661d6c073b1d40e644a,APPROVED,Not Applicable,2026-02-06T16:55:39.171000Z,2026-02-06T17:07:16.285000Z,2026-02-09T13:06:01.596000Z,2026-02-06T17:07:16.647904Z,698,NOCODE,1,Cybersecurity Specialist,English,28,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
698623197b2a7971690f5710,697de4ca86a9ec41e1ffccf3,APPROVED,Not Applicable,2026-02-06T17:21:38.562000Z,2026-02-06T17:26:03.004000Z,2026-02-09T13:06:01.879000Z,2026-02-06T17:26:03.366079Z,265,NOCODE,1,IT Project Manager,"Spanish, English",58,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
698631f14599f5cb146beb03,69736d6ff7dd5f35d17380a3,APPROVED,Not Applicable,2026-02-06T18:24:56.675000Z,2026-02-06T18:28:39.703000Z,2026-02-09T13:06:02.161000Z,2026-02-06T18:28:40.078986Z,224,NOCODE,4,Cybersecurity Specialist,English,30,Male,Asian,Nepal,Australia,DATA_EXPIRED,English,No,Part-Time
69865af9c94021e9521db612,6924b46ec42aa7454c3edef7,APPROVED,Not Applicable,2026-02-06T21:19:58.894000Z,2026-02-06T21:25:31.171000Z,2026-02-09T13:06:02.427000Z,2026-02-06T21:25:31.508764Z,333,NA,47,IT Project Manager,English,53,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
698709628f8cdab35e67cec1,693078a43d1f7cee0703f4de,TIMED-OUT,Not Applicable,2026-02-07T09:45:46.732000Z,,,2026-02-18T05:52:52.126278Z,936426,,34,IT Project Manager,"Korean, English",29,Female,Asian,Korea,Germany,Korea,German,No,Full-Time
698711290a9a1f85f2bf53cc,697cab422d8fb12af106991a,APPROVED,Not Applicable,2026-02-07T10:17:23.427000Z,2026-02-07T10:20:43.292000Z,2026-02-09T13:06:02.702000Z,2026-02-07T10:20:43.629837Z,200,NOCODE,0,IT Project Manager,"English, Spanish",28,Male,White,Portugal,Portugal,DATA_EXPIRED,Portuguese,No,Full-Time
698713058aad8ea4af5db911,6983764762772e6a6afd8b14,APPROVED,Not Applicable,2026-02-07T10:25:09.255000Z,2026-02-07T10:42:26.313000Z,2026-02-09T13:06:03.052000Z,2026-02-07T10:42:26.641456Z,1038,6983764762772e6a6afd8b14,0,Cybersecurity Specialist,English,37,Male,Black,Nigeria,Ireland,DATA_EXPIRED,English,No,Full-Time
69871e107b511710baac59c8,697270122adfd068b90be931,APPROVED,Not Applicable,2026-02-07T11:12:20.348000Z,2026-02-07T11:14:49.097000Z,2026-02-09T13:06:03.469000Z,2026-02-07T11:14:49.454778Z,149,NOCODE,10,Cybersecurity Specialist,English,22,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
69872ebd2c42640730cadf54,67dc62bcdd10c6e335aca0ed,APPROVED,Not Applicable,2026-02-07T12:23:46.086000Z,2026-02-07T12:28:09.652000Z,2026-02-09T13:06:03.767000Z,2026-02-07T12:28:09.988234Z,264,NOCODE,1366,IT Project Manager,English,34,Female,White,United States,United States,United States,English,No,Part-Time
69873cf29b573ec952fa35d2,697267f4538f41ddd580e753,APPROVED,Not Applicable,2026-02-07T13:24:16.747000Z,2026-02-07T13:29:22.058000Z,2026-02-09T13:06:04.036000Z,2026-02-07T13:29:22.406382Z,306,NOCODE,3,IT Project Manager,English,31,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
69873e2b9ee3dd53bf2022d3,696aad6297285680789d7418,APPROVED,Not Applicable,2026-02-07T13:29:20.248000Z,2026-02-07T13:34:00.730000Z,2026-02-09T13:06:04.353000Z,2026-02-07T13:34:01.076229Z,281,NOCODE,6,IT Project Manager,"French, English",35,Male,White,France,France,France,French,No,Full-Time
6987884266bf76bf8bb05b32,6984a86ebbab36eea598ab42,APPROVED,Not Applicable,2026-02-07T18:45:39.061000Z,2026-02-07T18:51:12.079000Z,2026-02-09T13:06:04.677000Z,2026-02-07T18:51:12.429711Z,334,NOCODE,0,Cybersecurity Engineer,"Catalan, English",30,Male,White,Spain,Spain,DATA_EXPIRED,Spanish,No,Full-Time
6987f456693574ce9094d1b8,63d3f928e97451dbc1c745da,APPROVED,Not Applicable,2026-02-08T02:26:32.987000Z,2026-02-08T02:30:39.163000Z,2026-02-09T13:06:04.967000Z,2026-02-08T02:30:39.489001Z,247,NOCODE,387,IT Project Manager,English,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
69883e583acb737132094fdf,69781209fdac6411c232f570,APPROVED,Not Applicable,2026-02-08T07:42:22.053000Z,2026-02-08T07:48:42.803000Z,2026-02-09T13:06:05.287000Z,2026-02-08T07:48:43.152532Z,381,329854,16,IT Project Manager,English,36,Male,White,Australia,Australia,Australia,English,No,Full-Time
698862758dc2c2ef3106a902,69275662f88e9493e473a117,APPROVED,Not Applicable,2026-02-08T10:16:27.752000Z,2026-02-08T10:19:16.050000Z,2026-02-09T13:06:05.609000Z,2026-02-08T10:19:16.410086Z,169,NOCODE,17,Cybersecurity Specialist,English,39,Male,White,Germany,Germany,Germany,German,No,Full-Time
69891064d48bc1daf9e255f8,697be281d19e2727abb4aeac,APPROVED,Not Applicable,2026-02-08T22:38:30.828000Z,2026-02-08T22:41:05.142000Z,2026-02-09T13:06:06.268000Z,2026-02-08T22:41:05.510854Z,155,697be281d19e2727abb4aeac,0,Cybersecurity Specialist,"English, Spanish, Catalan",25,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
69891e9a94dc352b7a63c45e,5f5d51785a31085a80509958,APPROVED,Not Applicable,2026-02-08T23:39:13.447000Z,2026-02-08T23:44:20.837000Z,2026-02-09T13:06:06.576000Z,2026-02-08T23:44:21.261192Z,308,NOCODE,1527,IT Project Manager,"Croatian, English, Italian",40,Female,White,Bosnia and Herzegovina,United Kingdom,United Kingdom,Croatian,No,Part-Time
69899bfd8a33865fee93121c,697b1a135a578e22b7096da7,APPROVED,Not Applicable,2026-02-09T08:34:10.340000Z,2026-02-09T08:37:46.444000Z,2026-02-09T13:06:06.878000Z,2026-02-09T08:37:46.853004Z,217,NOCODE,5,IT Project Manager,"English, Catalan, German",26,Male,White,Spain,Spain,Spain,Spanish,No,Part-Time
6989c8c1e6d574ef9e93f7f5,6966ad3247bb9b3fb20bfd3a,APPROVED,Not Applicable,2026-02-09T11:45:08.980000Z,2026-02-09T11:47:31.433000Z,2026-02-09T13:06:07.180000Z,2026-02-09T11:47:32.015357Z,143,NOCODE,79,IT Project Manager,English,25,Male,White,Germany,Germany,Germany,German,No,Full-Time
6989eeb8c206cc7c387e172c,6985c2072e7914fce07ae954,APPROVED,Not Applicable,2026-02-09T14:27:15.872000Z,2026-02-09T14:32:20.619000Z,2026-02-11T12:27:38.771000Z,2026-02-09T14:32:20.958895Z,305,CO7GMO3N,1,Cybersecurity Specialist,English,46,Male,White,United States,United States,United States,English,Yes,Part-Time
698a0cbc30085374d7f632d0,698a06453115c708c6972fc6,APPROVED,Not Applicable,2026-02-09T16:35:13.542000Z,2026-02-09T16:38:49.716000Z,2026-02-11T12:27:39.067000Z,2026-02-09T16:38:50.050881Z,217,CO7GMO3N,0,Cybersecurity Engineer,"Spanish, English",29,Male,White,Spain,Spain,DATA_EXPIRED,Spanish,No,Full-Time
698afedd0cd02f66b2ea7814,6987307ee9e55830b1594fd4,APPROVED,Not Applicable,2026-02-10T09:49:58.105000Z,2026-02-10T09:52:54.088000Z,2026-02-11T12:27:39.352000Z,2026-02-10T09:52:54.440394Z,176,CO7GMO3N,1,IT Project Manager,English,27,Male,Black,United States,United States,DATA_EXPIRED,English,No,Full-Time
698bbd380f5e81f0265e26e8,6972b949a3cb388b9687f6e5,APPROVED,Not Applicable,2026-02-10T23:20:46.773000Z,2026-02-10T23:23:46.717000Z,2026-02-11T12:27:39.608000Z,2026-02-10T23:23:47.086461Z,180,CO7GMO3N,8,Cybersecurity Engineer,English,25,Male,White,Australia,Australia,Australia,English,No,Full-Time
698c6627962f7787edf42cd8,697caefff3d2dc1b1fc4ffd9,APPROVED,Not Applicable,2026-02-11T11:21:53.878000Z,2026-02-11T11:26:37.502000Z,2026-02-11T12:27:39.868000Z,2026-02-11T11:26:37.874753Z,284,CO7GMO3N,0,Cybersecurity Engineer,"English, Portuguese",23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
