Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current job role,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
698ca7ae3c35f5ca9d7a701b,692967217fecee8331f330ca,APPROVED,Not Applicable,2026-02-11T16:00:46.124000Z,2026-02-11T16:06:27.821000Z,2026-02-19T17:32:37.476000Z,2026-02-11T16:06:28.201101Z,342,CO7GMO3N,23,Cybersecurity Specialist,English,23,Male,White,Spain,Spain,DATA_EXPIRED,Spanish,Yes,Full-Time
698cb7e6dcc8a1b8b51b1346,698c1e0136e0c3b82a9c9a59,APPROVED,Not Applicable,2026-02-11T17:10:15.923000Z,2026-02-11T17:29:48.043000Z,2026-02-19T17:32:37.786000Z,2026-02-11T17:29:48.414425Z,1173,CO7GMO3N,0,IT Project Manager,"English, French",32,Male,Black,United States,United States,DATA_EXPIRED,English,No,Part-Time
698dd8b7c43781f46680db7e,69788e1d52bd3927b34f91a8,APPROVED,Not Applicable,2026-02-12T13:42:22.083000Z,2026-02-12T13:48:53.988000Z,2026-02-19T17:32:38.053000Z,2026-02-12T13:48:54.331231Z,392,CO7GMO3N,4,IT Project Manager,"Italian, English",24,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
698de185f5040c14b4afcfe3,66a6b87ea3ed1077a688ba26,APPROVED,Not Applicable,2026-02-12T14:20:03.407000Z,2026-02-12T14:31:29.315000Z,2026-02-19T17:32:38.344000Z,2026-02-12T14:31:29.656174Z,686,CO7GMO3N,0,Cybersecurity Engineer,"Portuguese, English, Spanish",24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Due to start a new job within the next month
698ed356eed9bc88949ed732,69875cca2fc7f4fff3f87db9,APPROVED,Not Applicable,2026-02-13T07:42:00.023000Z,2026-02-19T17:32:48.513000Z,2026-02-19T17:32:48.878000Z,2026-02-19T17:32:49.207411Z,553849,Manual Completion,5,Cybersecurity Engineer,"Dutch, English",47,Male,Black,Sierra Leone,Netherlands,Netherlands,English,No,Part-Time
698f227d13b9076a3232146f,6915a3b5b808709ba5f1280a,APPROVED,Not Applicable,2026-02-13T13:09:52.091000Z,2026-02-13T13:17:16.333000Z,2026-02-19T17:32:38.664000Z,2026-02-13T13:17:16.665897Z,445,CO7GMO3N,37,Cybersecurity Engineer,English,30,Male,White,Germany,Germany,DATA_EXPIRED,German,No,Full-Time
698f3cee3324b4d1d8d22243,69733145b7bf8c67f7f078ea,APPROVED,Not Applicable,2026-02-13T15:04:25.957000Z,2026-02-13T15:13:08.579000Z,2026-02-19T17:32:39.026000Z,2026-02-13T15:13:08.964145Z,523,CO7GMO3N,4,IT Project Manager,"English, French",43,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
698f5e0cab6faa1f4adbc09e,691525f9dd1618ede2c571b2,APPROVED,Not Applicable,2026-02-13T17:23:29.380000Z,2026-02-13T17:30:15.236000Z,2026-02-19T17:32:39.288000Z,2026-02-13T17:30:25.165797Z,406,CO7GMO3N,82,IT Project Manager,English,31,Male,White,Germany,Germany,Germany,German,No,Full-Time
6990531507298f178eb4983a,69150e5f1fdfc3918aedf418,APPROVED,Not Applicable,2026-02-14T10:48:55.939000Z,2026-02-14T10:54:21.887000Z,2026-02-19T17:32:39.569000Z,2026-02-14T10:54:22.264876Z,326,CO7GMO3N,65,Cybersecurity Specialist,English,39,Male,White,Germany,Germany,Germany,German,No,Full-Time
69908f135e1e04752bf9463b,69908a6b6c7f61ead7f7c60f,APPROVED,Not Applicable,2026-02-14T15:05:16.035000Z,2026-02-14T15:11:38.030000Z,2026-02-19T17:32:39.846000Z,2026-02-14T15:11:38.390115Z,382,CO7GMO3N,0,Cybersecurity Engineer,"English, French",36,Male,Other,France,France,DATA_EXPIRED,French,No,Full-Time
6990908e7727a6968c7a320f,69763956c8088de2968314d5,APPROVED,Not Applicable,2026-02-14T15:11:16.587000Z,2026-02-14T15:28:30.037000Z,2026-02-19T17:32:40.115000Z,2026-02-14T15:28:30.361657Z,1034,CO7GMO3N,7,IT Project Manager,English,48,Male,Asian,United States,United States,Vietnam,English,No,Full-Time
6990f79b622d017d45ef0be9,698be272f79d545381e7df0e,APPROVED,Not Applicable,2026-02-14T22:31:00.027000Z,2026-02-14T22:36:35.651000Z,2026-02-19T17:32:40.454000Z,2026-02-14T22:36:36.485469Z,336,CO7GMO3N,1,Cybersecurity Engineer,English,38,Female,White,United States,United States,DATA_EXPIRED,English,No,Full-Time
6991f1b07b4d8a8b49103bfe,698749dfa6d333b5c95a8a46,APPROVED,Not Applicable,2026-02-15T16:17:59.270000Z,2026-02-15T16:35:18.127000Z,2026-02-19T17:32:40.755000Z,2026-02-15T16:35:18.484723Z,1039,CO7GMO3N,8,IT Project Manager,English,27,Male,Black,United States,United States,United States,English,No,Full-Time
6992b9f8777f0bf54c73dd03,6990dd88cb6e5c86ea792be9,APPROVED,Not Applicable,2026-02-19T17:32:49.290000Z,2026-02-19T17:32:49.506000Z,2026-02-19T17:32:50.214000Z,2026-02-19T17:32:50.647092Z,1,Manual Completion,13,Cybersecurity Engineer,English,38,Female,White,United States,United States,United States,English,No,Full-Time
69933b2453edd2a38139d338,6991b8ffd89fda82176f27bb,APPROVED,Not Applicable,2026-02-16T15:44:25.940000Z,2026-02-16T15:51:38.562000Z,2026-02-19T17:32:41.038000Z,2026-02-16T15:51:38.904607Z,433,CO7GMO3N,0,Cybersecurity Specialist,English,24,Male,White,Spain,Spain,DATA_EXPIRED,Spanish,No,Full-Time
6994262a2bddbe813977c8ff,699303e736ab87385a91f333,APPROVED,Not Applicable,2026-02-17T08:26:59.731000Z,2026-02-19T17:32:51.099000Z,2026-02-19T17:32:51.526000Z,2026-02-19T17:32:51.764034Z,205552,Manual Completion,0,IT Project Manager,"English, German",47,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
69945e13a36cff016bcfb4ca,6993187de03680c632574738,APPROVED,Not Applicable,2026-02-17T12:24:51.283000Z,2026-02-19T17:32:52.196000Z,2026-02-19T17:32:52.723000Z,2026-02-19T17:32:53.067046Z,191281,Manual Completion,0,IT Project Manager,English,38,Male,White,Sweden,Sweden,Sweden,Swedish,No,Due to start a new job within the next month
69947263aa63a7d95386703e,6993b803509fd0459b86449e,APPROVED,Not Applicable,2026-02-17T13:51:54.296000Z,2026-02-17T13:56:19.732000Z,2026-02-19T17:32:41.298000Z,2026-02-17T13:56:20.092900Z,266,CO7GMO3N,0,Cybersecurity Specialist,"English, Spanish",31,Male,White,Puerto Rico,United States,DATA_EXPIRED,English,No,Full-Time
