Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current job role,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69bbce253c29d48459c6d4d3,5fabca68273dd403ab40e361,APPROVED,Not Applicable,2026-03-19T10:25:24.649000Z,2026-03-19T10:32:05.901000Z,2026-03-20T05:57:58.672000Z,2026-03-19T10:32:06.229008Z,402.0,CO7GMO3N,1221,Software Engineer / Developer,"Portuguese, English, Spanish",26,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Due to start a new job within the next month
69bbce3640d1d0aee2252f4a,6984b719db2917412dfc3135,APPROVED,Not Applicable,2026-03-19T10:21:47.775000Z,2026-03-19T10:28:06.519000Z,2026-03-20T05:57:58.959000Z,2026-03-19T10:28:06.858696Z,379.0,CO7GMO3N,174,Software Engineer / Developer,"German, English",38,Male,White,Kyrgyzstan,Germany,Germany,German,No,Full-Time
69bbce76dcff39a8ed3c2bff,697cf1f3a51a0cbfd3e7da95,APPROVED,Not Applicable,2026-03-19T10:22:46.122000Z,2026-03-19T10:33:45.849000Z,2026-03-20T05:57:59.251000Z,2026-03-19T10:33:46.178765Z,660.0,CO7GMO3N,155,Software Engineer / Developer,English,36,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
69bbcfba9ad40122f747dd4f,69b306d0aabcb968f7ca7ec5,APPROVED,Not Applicable,2026-03-19T10:29:28.597000Z,2026-03-19T10:46:10.301000Z,2026-03-20T05:57:59.545000Z,2026-03-19T10:46:10.684398Z,1002.0,CO7GMO3N,249,Software Engineer / Developer,"English, Korean",47,Male,Asian,Korea,United States,Korea,Korean,No,Full-Time
69bbd226bca890e46a001231,697f49b994eba27bb4a8f2d7,APPROVED,Not Applicable,2026-03-19T10:38:34.701000Z,2026-03-19T10:47:55.857000Z,2026-03-20T05:57:59.876000Z,2026-03-19T10:47:56.246566Z,562.0,CO7GMO3N,39,Software Engineer / Developer,"English, Swahili, German",41,DATA_EXPIRED,Prefer not to say,Kenya,Germany,Germany,English,No,Part-Time
69bbd24823cabe8d5d705d16,6929ca088209364a5246d420,APPROVED,Not Applicable,2026-03-19T10:39:08.148000Z,2026-03-19T10:57:07.170000Z,2026-03-20T05:58:00.184000Z,2026-03-19T10:57:07.560686Z,1080.0,CO7GMO3N,68,Software Engineer / Developer,"English, French",32,Female,Mixed,Cameroon,France,DATA_EXPIRED,English,No,Part-Time
69bbd2936f39dc80d92a0c5c,699355930b03b82bd4855b92,APPROVED,Not Applicable,2026-03-19T10:40:29.062000Z,2026-03-19T10:55:24.513000Z,2026-03-20T05:58:00.484000Z,2026-03-19T10:55:25.208134Z,896.0,CO7GMO3N,0,Software Engineer / Developer,English,30,Male,White,France,France,DATA_EXPIRED,French,No,Full-Time
69bbd2e0a016564e77295dc5,697cd69b8306e0d7e7ff4bfc,APPROVED,Not Applicable,2026-03-19T10:41:39.766000Z,2026-03-19T10:55:10.517000Z,2026-03-20T05:58:00.756000Z,2026-03-19T10:55:10.936095Z,811.0,CO7GMO3N,72,Software Engineer / Developer,"Portuguese, English",24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
69bbd2e4ccbdf9412038cb1d,697cba0e216896c1c2af664e,APPROVED,Not Applicable,2026-03-19T10:41:43.466000Z,2026-03-19T10:53:06.911000Z,2026-03-20T05:58:01.062000Z,2026-03-19T10:53:07.269968Z,684.0,CO7GMO3N,75,Software Engineer / Developer,English,28,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
69bbd59f973dba3498a54023,6760674a9c67827bc76493f4,APPROVED,Not Applicable,2026-03-19T10:53:45.235000Z,2026-03-19T10:58:18.969000Z,2026-03-20T05:58:01.340000Z,2026-03-19T10:58:19.311843Z,274.0,CO7GMO3N,327,Software Engineer / Developer,"English, Croatian, Arabic",21,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
