Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Current job role,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69bbce17993b527612303878,698b56d7302d3ab043c9a02d,APPROVED,Not Applicable,2026-03-19T10:21:21.680000Z,2026-03-19T10:32:04.935000Z,2026-03-20T05:57:32.359000Z,2026-03-19T10:32:05.301561Z,644.0,CO7GMO3N,61,Software Engineer / Developer,"English, Spanish, French",31,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
69bbce1a157c9b0fde57bcb4,6989cbe1ec0087fc9a540678,APPROVED,Not Applicable,2026-03-19T10:21:59.158000Z,2026-03-19T10:25:37.963000Z,2026-03-20T05:57:32.706000Z,2026-03-19T10:25:38.296980Z,219.0,CO7GMO3N,148,Software Engineer / Developer,"Portuguese, English, Spanish",28,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
69bbce3c418260a21df1971e,697cf0534448bb9749f6e62b,APPROVED,Not Applicable,2026-03-19T10:21:51.699000Z,2026-03-19T10:24:46.565000Z,2026-03-20T05:57:33.118000Z,2026-03-19T10:24:46.921479Z,175.0,CO7GMO3N,26,Software Engineer / Developer,English,30,Male,White,Sweden,Sweden,Sweden,Swedish,No,Full-Time
69bbcf657b0bdf55201aefcf,69b9dc367fe8a0f25c27fd3e,APPROVED,Not Applicable,2026-03-19T10:26:52.592000Z,2026-03-19T10:32:13.355000Z,2026-03-20T05:57:33.557000Z,2026-03-19T10:32:13.686473Z,321.0,CO7GMO3N,15,Software Engineer / Developer,"English, Hindi, Bengali",31,Male,Asian,Bangladesh,United States,DATA_EXPIRED,Bengali,No,Full-Time
69bbd1f5656047a92068b016,69a3f89bebdf2d4532fbbf82,APPROVED,Not Applicable,2026-03-19T10:37:41.967000Z,2026-03-19T10:40:49.202000Z,2026-03-20T05:57:33.927000Z,2026-03-19T10:40:49.637791Z,188.0,CO7GMO3N,40,Software Engineer / Developer,"Catalan, English, German",26,Male,White,Spain,Spain,Spain,Spanish,Yes,Full-Time
69bbd238b000768894c74aaf,69a55f149951e21c10496d48,APPROVED,Not Applicable,2026-03-19T10:39:09.981000Z,2026-03-19T10:44:34.681000Z,2026-03-20T05:57:34.275000Z,2026-03-19T10:44:35.043199Z,325.0,CO7GMO3N,17,Software Engineer / Developer,"Spanish, English",31,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
69bbd29a6b2d5849dbb8359f,5f233903b356300d729e461e,APPROVED,Not Applicable,2026-03-19T10:40:26.562000Z,2026-03-19T10:44:10.201000Z,2026-03-20T05:57:34.567000Z,2026-03-19T10:44:10.555517Z,224.0,CO7GMO3N,370,IT Project Manager,"Portuguese, English",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
69bbd2eb2b6cd236404b28a5,6928a540864f1cf47a8ac294,APPROVED,Not Applicable,2026-03-19T10:41:47.564000Z,2026-03-19T10:45:24.876000Z,2026-03-20T05:57:34.886000Z,2026-03-19T10:45:25.229038Z,218.0,CO7GMO3N,21,Software Engineer / Developer,English,34,Male,White,Spain,Spain,Spain,Spanish,No,Full-Time
69bbd2fe43cc92ac18c867fb,699adb291d66b0ec25526ee5,APPROVED,Not Applicable,2026-03-19T10:42:06.486000Z,2026-03-19T10:47:12.573000Z,2026-03-20T05:57:35.191000Z,2026-03-19T10:47:12.923515Z,307.0,CO7GMO3N,61,Software Engineer / Developer,English,30,Female,White,Egypt,Germany,Egypt,Arabic,No,Full-Time
69bbd7cf084cd3ba63cd8003,672502a5a0d327e22968fe51,APPROVED,Not Applicable,2026-03-19T11:02:49.127000Z,2026-03-19T11:09:28.664000Z,2026-03-20T05:57:35.602000Z,2026-03-19T11:09:29.003940Z,400.0,CO7GMO3N,718,Software Engineer / Developer,English,28,Male,Black,Nigeria,United Kingdom,United Kingdom,English,No,Part-Time
69bbdb07ea6e9c95bfeffd03,697cae6e93b79bcf6b314046,APPROVED,Not Applicable,2026-03-19T11:16:27.491000Z,2026-03-19T11:20:39.941000Z,2026-03-20T05:57:36.041000Z,2026-03-19T11:20:40.313446Z,253.0,CO7GMO3N,35,Software Engineer / Developer,"English, Ukrainian",39,Male,White,Ukraine,Portugal,Ukraine,Ukrainian,No,Full-Time
69bbdcdee34af785c39a910d,609a7d5287ca8fb83e0780d4,APPROVED,Not Applicable,2026-03-19T11:24:17.337000Z,2026-03-19T11:27:14.161000Z,2026-03-20T05:57:36.396000Z,2026-03-19T11:27:14.528316Z,177.0,CO7GMO3N,1873,Software Engineer / Developer,"Portuguese, English",24,Male,White,United Kingdom,Portugal,Portugal,Portuguese,Yes,Full-Time
69bbdcf7aa6a15d67b8107d6,69472442518ca509e71cd0bb,APPROVED,Not Applicable,2026-03-19T11:24:43.434000Z,2026-03-19T11:30:17.417000Z,2026-03-20T05:57:36.702000Z,2026-03-19T11:30:17.830173Z,334.0,CO7GMO3N,70,Software Engineer / Developer,"English, Italian",22,Male,White,Italy,Italy,Italy,Italian,Yes,Due to start a new job within the next month
