"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","IP address","What is a key benefit of using Cyber Threat Intelligence? ","Which of the following is a typical source of Cyber Threat Intelligence?","What is a common use of a threat report in Cyber Threat Intelligence?","What are Indicators of Compromise (IoCs)?","PROLIFICPID","STUDYID","SESSIONID","{if(is_empty(gleichung), rand(3,4), gleichung)} ","   AI Threat Analysis Unit Automated Incident Response System   PRODUCT PREVIEW (LIMITED DETAILS)Critical indicators of compromise (IoCs) and technical signatures are partially hidden in this view. Purchase the full report to unlock all actionable data.   Incident Report: Killnet Group – Preview Summary   Detection &amp; Analysis (Preview)   	Confirmed SYN flood (DoS) attack against an internal server. 	Malicious traffic from a single external IP (REDACTED in preview). 	Activity attributed to Killnet Group based on threat intelligence feeds.     Containment &amp; Mitigation (Preview)   	Attack traffic stopped through network isolation and firewall changes. 	Specific firewall / IPS rules and signatures are not fully visible in this preview.     Outcome   	Attack successfully mitigated; no data exfiltration detected.      🛡️ Actionable Intelligence (Preview)  The full report contains detailed Indicators of Compromise (IoCs) and ready-to-use defenses. In this preview you can see only high-level items:   	Attacker IP: 1 external IPv4 address (REDACTED). 	Attack pattern: specific SYN flood profile against a single service. 	Defensive content: firewall / IPS signatures for Killnet Group SYN floods (details hidden).   Purchase the full report to reveal all redacted indicators and deploy the signatures in your environment.   Report Classification: RESTRICTED PREVIEWIoCs and signatures partially redacted for external buyers.   ","Read the instructions [At a price of 0 Ⓣ]","Read the instructions [At a price of 500 Ⓣ]","Read the instructions [At a price of 1.500 Ⓣ]","Read the instructions [At a price of  2.000 Ⓣ]","Read the instructions [At a price of 2.500 Ⓣ]","Read the instructions [At a price of 3.500 Ⓣ]","Read the instructions [At a price of  4.000 Ⓣ]","Read the instructions [At a price of  4.500 Ⓣ]","Read the instructions [At a price of  5.500 Ⓣ]","Read the instructions [At a price of  6.000 Ⓣ]","Read the instructions [At a price of 6.500 Ⓣ]","Read the instructions [At a price of 7.500 Ⓣ]","Read the instructions [At a price of  8.000 Ⓣ]","Read the instructions [At a price of 8.500 Ⓣ]","Read the instructions [At a price of 9.500 Ⓣ]","Read the instructions [At a price of  10.000 Ⓣ]","Read the instructions [At a price of 10.500 Ⓣ]","Read the instructions [At a price of 11.500 Ⓣ]","Read the instructions [At a price of 12.000 Ⓣ]","Read the instructions [At a price of 12.500 Ⓣ]","Read the instructions [At a price of 13.500 Ⓣ]","Read the instructions [At a price of  14.000 Ⓣ]","Read the instructions [At a price of 14.500 Ⓣ]","Read the instructions [At a price of 15.500 Ⓣ]","Read the instructions [At a price of 16.000 Ⓣ]","Read the instructions [At a price of 16.500 Ⓣ]","Read the instructions [At a price of 17.500 Ⓣ]","Read the instructions [At a price of  18.000 Ⓣ]","Read the instructions [At a price of 18.500 Ⓣ]","Read the instructions [At a price of 19.500 Ⓣ]","Read the instructions [At a price of  20.000 Ⓣ]","Read the instructions [At a price of 20.500 Ⓣ]","Read the instructions [At a price of 21.500 Ⓣ]","Read the instructions [At a price of  22.000 Ⓣ]","Please enter your individual Price: ","Select your confidence ","Read the instructions [At a price of 0 Ⓣ]","Read the instructions [At a price of 500 Ⓣ]","Read the instructions [At a price of 1.500 Ⓣ]","Read the instructions [At a price of  2.000 Ⓣ]","Read the instructions [At a price of 2.500 Ⓣ]","Read the instructions [At a price of 3.500 Ⓣ]","Read the instructions [At a price of  4.000 Ⓣ]","Read the instructions [At a price of  4.500 Ⓣ]","Read the instructions [At a price of  5.500 Ⓣ]","Read the instructions [At a price of  6.000 Ⓣ]","Read the instructions [At a price of 6.500 Ⓣ]","Read the instructions [At a price of 7.500 Ⓣ]","Read the instructions [At a price of  8.000 Ⓣ]","Read the instructions [At a price of 8.500 Ⓣ]","Read the instructions [At a price of 9.500 Ⓣ]","Read the instructions [At a price of  10.000 Ⓣ]","Read the instructions [At a price of 10.500 Ⓣ]","Read the instructions [At a price of 11.500 Ⓣ]","Read the instructions [At a price of 12.000 Ⓣ]","Read the instructions [At a price of 12.500 Ⓣ]","Read the instructions [At a price of 13.500 Ⓣ]","Read the instructions [At a price of  14.000 Ⓣ]","Read the instructions [At a price of 14.500 Ⓣ]","Read the instructions [At a price of 15.500 Ⓣ]","Read the instructions [At a price of 16.000 Ⓣ]","Read the instructions [At a price of 16.500 Ⓣ]","Read the instructions [At a price of 17.500 Ⓣ]","Read the instructions [At a price of  18.000 Ⓣ]","Read the instructions [At a price of 18.500 Ⓣ]","Read the instructions [At a price of 19.500 Ⓣ]","Read the instructions [At a price of  20.000 Ⓣ]","Read the instructions [At a price of 20.500 Ⓣ]","Read the instructions [At a price of 21.500 Ⓣ]","Read the instructions [At a price of  22.000 Ⓣ]","Please enter your individual Price: ","Select your confidence ","Total time","Group time: Screening","Question time: r427q0","Question time: r292q0","Question time: r907q0","Question time: r947q0","Question time: PROLIFICPID","Question time: STUDYID","Question time: SESSIONID","Group time: Einstieg","Question time: gleichung","Group time: Marketplace Offer: Threat Intelligence Report","Question time: q0r552","Group time: Use Case C","Question time: r859q0","Question time: G10Q20","Question time: q0r87","Group time: Use Case D","Question time: r57q0","Question time: r1019q0","Question time: r1013q0"
"32","2026-02-06 14:56:10","5","en","2049527348","2026-02-06 14:52:10","2026-02-06 14:56:10","79.112.34.201","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Metrics to evaluate security tools","697a6e6ce12a1c746e2689de","6985e4cb6d6373b8a28ac3ce","6985f1faba8509f00a79380f","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Little confidence","232.18","110.54","","","","","","","","","","39.1","","","","","","82.54","","",""
"33","2026-02-06 15:35:08","5","en","978999210","2026-02-06 15:29:24","2026-02-06 15:35:07","92.184.141.12","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","697b58b5675a46df53e60cee","6985e4cb6d6373b8a28ac3ce","6985fab8e898a9a4daaf8f9b","3","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","335.62","141.64","","","","","","","","","","58.98","","135","","","","","","",""
"34","2026-02-06 15:42:29","5","en","1364269443","2026-02-06 15:40:27","2026-02-06 15:42:29","98.115.163.214","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","693ecb243296d4f4d9e38818","6985e4cb6d6373b8a28ac3ce","6985fd548bbd6f323e0a710f","3","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","","Some confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115.14","46.01","","","","","","","","","","20.05","","49.08","","","","","","",""
"35","","-1","en","1581618587","2026-02-06 15:40:28","2026-02-06 15:40:28","35.163.61.171","","","","","693ecb243296d4f4d9e38818","6985e4cb6d6373b8a28ac3ce","6985fd548bbd6f323e0a710f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","",""
"36","2026-02-06 17:39:41","5","en","1554087299","2026-02-06 17:37:41","2026-02-06 17:39:41","174.16.47.254","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Security protocols for internal data transfers","698254ff5273a45e8c8b4457","6985e4cb6d6373b8a28ac3ce","698618cf9cba53dc5ed8c348","3","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.58","31.61","","","","","","","","","","3.48","","55.49","","","","","","",""
"37","2026-02-06 18:06:53","5","en","1898489879","2026-02-06 17:55:45","2026-02-06 18:06:53","2.138.219.78","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","697bb661d6c073b1d40e644a","6985e4cb6d6373b8a28ac3ce","69861cff93834c0e5503d174","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Little confidence","664.76","110.58","","","","","","","","","","102.61","","","","","","451.57","","",""
"38","2026-02-06 18:25:37","5","en","1154519287","2026-02-06 18:21:45","2026-02-06 18:25:37","89.7.53.151","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Metrics to evaluate security tools","697de4ca86a9ec41e1ffccf3","6985e4cb6d6373b8a28ac3ce","698623197b2a7971690f5710","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","High confidence","228.47","68.99","","","","","","","","","","75.9","","","","","","83.58","","",""
"39","2026-02-06 19:28:09","5","en","1850349776","2026-02-06 19:25:02","2026-02-06 19:28:09","101.115.10.232","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Data points signaling malicious activity","69736d6ff7dd5f35d17380a3","6985e4cb6d6373b8a28ac3ce","698631f14599f5cb146beb03","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","High confidence","178.85","50.23","","","","","","","","","","66.69","","","","","","61.93","","",""
"40","2026-02-06 22:24:42","5","en","1833571424","2026-02-06 22:20:04","2026-02-06 22:24:42","176.83.190.152","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Metrics to evaluate security tools","6924b46ec42aa7454c3edef7","6985e4cb6d6373b8a28ac3ce","69865af9c94021e9521db612","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","I will not buy","","Some confidence","272.55","112.54","","","","","","","","","","48.79","","","","","","111.22","","",""
"41","","2","en","755530857","2026-02-07 10:45:51","2026-02-07 10:48:45","95.223.79.37","Preventing attacks by anticipating threats","Threat data feeds and security reports","Providing analysis and summaries of emerging threats and vulnerabilities","Metrics to evaluate security tools","693078a43d1f7cee0703f4de","6985e4cb6d6373b8a28ac3ce","698709628f8cdab35e67cec1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.06","171.06","","","","","","","","","","","","","","","","","","",""
